frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
65,1765888721342,0.0241747,0.0172301,-0.00417916,0.916589,-0.250725,-0.0715161,-0.303129,0.0419862,-0,0,-4.65661e-08,0.00999045,2.98023e-08,0.99995,0.0299928,-0,0,3.72529e-09,0.323733,-8.9407e-08,0.946149,0.0252377,-0,0,0,0,0,1
66,1765888721375,0.0241747,0.0172301,-0.00417916,0.918078,-0.250846,-0.0716628,-0.298453,0.0419862,-0,0,-1.11759e-08,0.00974809,-3.27826e-07,0.999952,0.0299928,-0,0,-2.6077e-08,0.319508,3.27826e-07,0.947583,0.0252377,-0,0,0,0,0,1
67,1765888721408,0.0241747,0.0172301,-0.00417916,0.917839,-0.251063,-0.0703444,-0.299317,0.0419862,-0,0,-9.31323e-09,0.0099409,-2.98023e-08,0.999951,0.0299928,-0,0,-7.45058e-09,0.318588,8.9407e-08,0.947893,0.0252377,-0,0,0,0,0,1
68,1765888721441,0.0241747,0.0172301,-0.00417916,0.919529,-0.250022,-0.0669137,-0.295768,0.0419862,-0,0,-2.79397e-08,0.00968078,5.96046e-08,0.999953,0.0299928,-0,0,0,0.292792,-2.08616e-07,0.956176,0.0252377,-0,0,0,0,0,1
69,1765888721474,0.0241747,0.0172301,-0.00417916,0.93278,-0.215626,-0.0649228,-0.281446,0.0419862,-0,0,-4.84288e-08,0.00863362,2.98023e-08,0.999963,0.0299928,-0,0,-2.79397e-08,0.173902,1.49012e-08,0.984763,0.0252377,-0,0,0,0,0,1
70,1765888721507,0.0241747,0.0172301,-0.00417916,0.951331,-0.129245,-0.0821138,-0.267435,0.0419862,-0,0,1.30385e-08,0.000979543,-2.98023e-08,1,0.0299928,-0,0,2.98023e-08,0.0154959,7.45058e-08,0.99988,0.0252377,-0,0,0,0,0,1
71,1765888721540,0.0241747,0.0172301,-0.00417916,0.947214,-0.0179464,-0.114857,-0.298785,0.0419862,-0,0,7.91624e-09,-0.00733914,-1.11759e-08,0.999973,0.0299928,-0,0,8.9989e-08,-0.108608,1.11759e-08,0.994085,0.0252377,-0,0,0,0,0,1
72,1765888721574,0.0241747,0.0172301,-0.00417916,0.927345,0.0835911,-0.128621,-0.341321,0.0419862,-0,0,3.35276e-08,-0.012227,1.49012e-08,0.999925,0.0299928,-0,0,3.91156e-08,-0.203471,-2.98023e-08,0.979081,0.0252377,-0,0,0,0,0,1
73,1765888721607,0.0241747,0.0172301,-0.00417916,0.908494,0.139142,-0.140052,-0.368326,0.0419862,-0,0,-1.06171e-07,-0.012788,4.47035e-08,0.999918,0.0299928,-0,0,2.23517e-08,-0.262424,-6.70552e-08,0.964953,0.0252377,-0,0,0,0,0,1
74,1765888721640,0.0241747,0.0172301,-0.00417916,0.90423,0.153574,-0.143681,-0.371671,0.0419862,-0,0,5.21541e-08,-0.0127255,-2.23517e-08,0.999919,0.0299928,-0,0,-2.98023e-08,-0.283714,-2.98023e-08,0.958909,0.0252377,-0,0,0,0,0,1
75,1765888721673,0.0241747,0.0172301,-0.00417916,0.901966,0.165079,-0.146991,-0.370945,0.0419862,-0,0,1.86265e-09,-0.0124214,4.47035e-08,0.999923,0.0299928,-0,0,-5.96046e-08,-0.289424,4.47035e-08,0.957201,0.0252377,-0,0,0,0,0,1
76,1765888721707,0.0241747,0.0172301,-0.00417916,0.899839,0.169658,-0.150529,-0.372623,0.0419862,-0,0,-9.31322e-09,-0.0121411,-1.49012e-08,0.999926,0.0299928,-0,0,7.45058e-09,-0.287436,0,0.9578,0.0252377,-0,0,0,0,0,1
77,1765888721740,0.0241747,0.0172301,-0.00417916,0.898668,0.163976,-0.149104,-0.378519,0.0419862,-0,0,-6.33299e-08,-0.0121813,1.63913e-07,0.999926,0.0299928,-0,0,0,-0.279168,-2.01166e-07,0.960242,0.0252377,-0,0,0,0,0,1
78,1765888721773,0.0241747,0.0172301,-0.00417916,0.901674,0.141399,-0.136541,-0.385158,0.0419862,-0,0,2.23517e-08,-0.0125717,-1.49012e-07,0.999921,0.0299928,-0,0,3.72529e-09,-0.254639,2.08616e-07,0.967036,0.0252377,-0,0,0,0,0,1
79,1765888721806,0.0241747,0.0172301,-0.00417916,0.915985,0.0953562,-0.125515,-0.368952,0.0419862,-0,0,3.35276e-08,-0.0117906,2.23517e-08,0.999931,0.0299928,-0,0,-7.82311e-08,-0.197101,-5.21541e-08,0.980383,0.0252377,-0,0,0,0,0,1
80,1765888721839,0.0241747,0.0172301,-0.00417916,0.941422,0.00811005,-0.110551,-0.318492,0.0419862,-0,0,-5.05243e-08,-0.0066338,5.40167e-08,0.999978,0.0299928,-0,0,4.77303e-08,-0.0981727,-1.07102e-07,0.995169,0.0252377,-0,0,0,0,0,1
81,1765888721873,0.0241747,0.0172301,-0.00417916,0.941586,-0.11209,-0.0831586,-0.306491,0.0419862,-0,0,-2.23517e-08,0.00097388,-2.98023e-08,1,0.0299928,-0,0,4.00469e-08,0.0178265,4.47035e-08,0.999841,0.0252377,-0,0,0,0,0,1
82,1765888721906,0.0241747,0.0172301,-0.00417916,0.923478,-0.199309,-0.0614183,-0.322012,0.0419862,-0,0,-1.49012e-08,0.00885549,1.19209e-07,0.999961,0.0299928,-0,0,-5.7742e-08,0.180394,-2.08616e-07,0.983595,0.0252377,-0,0,0,0,0,1
83,1765888721939,0.0241747,0.0172301,-0.00417916,0.916768,-0.225026,-0.0519982,-0.325877,0.0419862,-0,0,-5.7742e-08,0.0108412,-2.98023e-08,0.999941,0.0299928,-0,0,3.35276e-08,0.267695,7.45058e-08,0.963504,0.0252377,-0,0,0,0,0,1
84,1765888721973,0.0241747,0.0172301,-0.00417916,0.916924,-0.233834,-0.0515108,-0.319248,0.0419862,-0,0,-5.58794e-08,0.0111239,-7.45058e-08,0.999938,0.0299928,-0,0,1.67638e-08,0.298884,0,0.95429,0.0252377,-0,0,0,0,0,1
85,1765888722006,0.0241747,0.0172301,-0.00417916,0.917942,-0.237059,-0.051082,-0.313968,0.0419862,-0,0,-4.09782e-08,0.0113442,-1.49012e-07,0.999936,0.0299928,-0,0,-1.11759e-08,0.312929,2.38419e-07,0.949777,0.0252377,-0,0,0,0,0,1
86,1765888722039,0.0241747,0.0172301,-0.00417916,0.918127,-0.239006,-0.050628,-0.312018,0.0419862,-0,0,-1.49012e-08,0.0116383,5.96046e-08,0.999932,0.0299928,-0,0,1.49012e-08,0.317801,-8.9407e-08,0.948157,0.0252377,-0,0,0,0,0,1
